User ID,Gender,Age,Time Needed,Prev_Prefecture,Prev_Region,Prev_Half,Curr_Prefecture,Curr_Region,Curr_Half,Moved
9130,1,3,298,0,0,0,0,0,0,0
4849,0,3,303,0,0,0,0,0,0,0
3601,0,2,192,0,0,0,0,0,0,0
1422,0,3,206,0,0,0,0,0,0,0
6767,0,2,447,24,5,0,24,5,0,0
8007,1,1,166,26,6,1,26,6,1,0
3885,0,3,416,26,6,1,26,6,1,0
9961,1,2,335,26,6,1,26,6,1,0
4899,0,1,344,26,6,1,26,6,1,0
4455,0,2,304,23,6,1,23,6,1,0
5831,0,3,210,0,0,0,0,0,0,0
4433,0,1,204,0,0,0,0,0,0,0
7177,0,3,331,0,0,0,0,0,0,0
5191,0,4,472,0,0,0,0,0,0,0
6701,0,3,225,0,0,0,0,0,0,0
1750,1,2,319,26,6,1,26,6,1,0
9743,1,2,205,27,6,1,27,6,1,0
4189,0,3,237,26,6,1,26,6,1,0
6539,0,4,351,26,6,1,26,6,1,0
8565,1,2,217,26,6,1,26,6,1,0
3149,0,3,222,0,0,0,0,0,0,0
8444,1,3,193,4,1,0,4,1,0,0
8685,1,1,298,5,1,0,5,1,0,0
9622,1,2,271,6,1,0,6,1,0,0
9627,1,2,525,4,1,0,4,1,0,0
5295,0,0,245,34,7,1,34,7,1,0
9843,1,0,208,30,7,1,30,7,1,0
1560,0,2,190,30,7,1,30,7,1,0
9949,1,2,291,34,7,1,34,7,1,0
9872,1,1,243,31,7,1,31,7,1,0
1902,0,3,334,4,1,0,4,1,0,0
6021,0,2,457,4,1,0,4,1,0,0
4799,0,2,243,1,1,0,1,1,0,0
9611,1,1,317,4,1,0,4,1,0,0
1208,0,2,282,4,1,0,4,1,0,0
3851,0,3,199,4,1,0,4,1,0,0
8428,1,2,231,7,2,0,7,2,0,0
1608,0,1,238,21,2,0,21,2,0,0
8475,1,3,320,21,2,0,21,2,0,0
1411,0,3,342,7,2,0,7,2,0,0
1170,1,2,210,22,2,0,22,2,0,0
4055,0,1,208,7,2,0,7,2,0,0
4019,0,4,488,20,2,0,20,2,0,0
9940,1,1,353,21,2,0,21,2,0,0
5253,0,2,322,7,2,0,7,2,0,0
9967,1,1,262,7,2,0,7,2,0,0
8270,1,1,219,13,3,0,13,3,0,0
10085,1,2,446,13,3,0,13,3,0,0
5211,0,1,260,11,3,0,11,3,0,0
5019,0,0,264,13,3,0,13,3,0,0
1072,0,1,286,13,3,0,13,3,0,0
9065,1,1,319,13,3,0,13,3,0,0
1703,1,1,279,14,3,0,14,3,0,0
8759,1,2,231,13,3,0,13,3,0,0
8505,1,2,292,13,3,0,13,3,0,0
3073,0,2,270,13,3,0,13,3,0,0
8038,1,0,227,17,4,0,17,4,0,0
8987,1,1,390,17,4,0,17,4,0,0
3755,0,2,287,17,4,0,17,4,0,0
8062,1,2,202,17,4,0,17,4,0,0
6799,0,4,304,17,4,0,17,4,0,0
5897,0,2,307,15,4,0,15,4,0,0
1215,0,2,209,17,4,0,17,4,0,0
8126,1,1,246,17,4,0,17,4,0,0
4267,0,0,235,15,4,0,15,4,0,0
1005,1,3,375,17,4,0,17,4,0,0
8633,1,0,188,18,5,0,18,5,0,0
9487,1,1,337,18,5,0,18,5,0,0
9369,1,0,244,18,5,0,18,5,0,0
5805,0,2,179,19,5,0,19,5,0,0
1141,1,1,170,18,5,0,18,5,0,0
6865,0,3,350,19,5,0,19,5,0,0
3819,0,2,192,19,5,0,19,5,0,0
8824,1,0,276,18,5,0,18,5,0,0
3731,0,2,322,18,5,0,18,5,0,0
1967,1,2,188,33,7,1,33,7,1,0
9027,1,0,230,34,7,1,34,7,1,0
6351,0,4,466,30,7,1,30,7,1,0
5577,0,2,810,31,7,1,31,7,1,0
4497,0,2,220,30,7,1,30,7,1,0
6121,0,3,735,37,8,1,37,8,1,0
4695,0,4,384,37,8,1,37,8,1,0
9697,1,2,612,37,8,1,37,8,1,0
5865,0,2,481,35,8,1,35,8,1,0
1872,0,3,594,35,8,1,35,8,1,0
1564,1,1,360,35,8,1,35,8,1,0
6255,0,2,425,35,8,1,35,8,1,0
8832,1,0,262,38,8,1,38,8,1,0
9653,1,2,344,38,8,1,38,8,1,0
1917,1,0,358,35,8,1,35,8,1,0
6801,0,2,230,44,9,1,44,9,1,0
4605,0,1,269,39,9,1,39,9,1,0
1330,1,1,373,39,9,1,39,9,1,0
1032,0,1,317,39,9,1,39,9,1,0
8606,1,2,584,42,9,1,42,9,1,0
8560,1,4,262,43,9,1,43,9,1,0
9577,1,4,321,39,9,1,39,9,1,0
1683,1,3,253,40,9,1,40,9,1,0
4003,0,3,516,41,9,1,41,9,1,0
8618,1,2,284,44,9,1,44,9,1,0
